PERMNO,date,TICKER,PERMCO,PRC,VOL,RET,vwretd,sprtrn
91005,10/02/2012,KBE,39147,21.90000,2028900,-0.012624,-0.008389,-0.006886
91005,13/02/2012,KBE,39147,22.07000,1521700,0.007763,0.007442,0.006800
91005,14/02/2012,KBE,39147,21.92000,2610200,-0.006797,-0.001553,-0.000940
91005,15/02/2012,KBE,39147,21.90000,3132100,-0.000912,-0.004222,-0.005383
91005,16/02/2012,KBE,39147,22.33000,4039800,0.019635,0.012475,0.011026
91005,17/02/2012,KBE,39147,22.45000,2787600,0.005374,0.001385,0.002349
91005,21/02/2012,KBE,39147,22.39000,2536400,-0.002673,0.000156,0.000720
91005,22/02/2012,KBE,39147,21.91000,4349500,-0.021438,-0.003129,-0.003340
91005,23/02/2012,KBE,39147,22.16000,6269300,0.011410,0.005702,0.004272
91005,24/02/2012,KBE,39147,22.07000,1801200,-0.004061,0.001498,0.001672
91005,27/02/2012,KBE,39147,22.33000,3300300,0.011781,0.000806,0.001355
91005,28/02/2012,KBE,39147,22.36000,3252900,0.001344,0.002909,0.003356
91005,29/02/2012,KBE,39147,22.28000,5397400,-0.003578,-0.005684,-0.004737
91005,01/03/2012,KBE,39147,22.44000,3778600,0.007181,0.006807,0.006158
91005,02/03/2012,KBE,39147,22.29000,2430500,-0.006684,-0.004921,-0.003246
91005,05/03/2012,KBE,39147,22.11000,2299000,-0.008075,-0.004560,-0.003870
91005,06/03/2012,KBE,39147,21.56000,4155200,-0.024876,-0.017384,-0.015370
91005,07/03/2012,KBE,39147,21.90000,1773000,0.015770,0.007946,0.006901
91005,08/03/2012,KBE,39147,22.18000,1483800,0.012785,0.010866,0.009818
91005,09/03/2012,KBE,39147,22.47000,1800600,0.013075,0.004501,0.003631
91005,12/03/2012,KBE,39147,22.42000,1733000,-0.002225,-0.001366,0.000160
91005,13/03/2012,KBE,39147,23.31000,4956300,0.039697,0.017621,0.018132
91005,14/03/2012,KBE,39147,23.58000,5833000,0.011583,-0.003912,-0.001196
91005,15/03/2012,KBE,39147,24.18000,4839600,0.025445,0.006515,0.005967
91005,16/03/2012,KBE,39147,24.24000,8672400,0.005408,0.001328,0.001119
91005,19/03/2012,KBE,39147,24.44000,12622100,0.008251,0.004003,0.003974
91005,20/03/2012,KBE,39147,24.40000,9067500,-0.001637,-0.004507,-0.003001
91005,21/03/2012,KBE,39147,24.25000,5787400,-0.006148,-0.001114,-0.001871
91005,22/03/2012,KBE,39147,23.84000,4700100,-0.016907,-0.008117,-0.007207
91005,23/03/2012,KBE,39147,23.95000,6957000,0.004614,0.004484,0.003109
91005,26/03/2012,KBE,39147,24.27000,3117100,0.013361,0.013964,0.013886
91005,27/03/2012,KBE,39147,23.97000,3634800,-0.012361,-0.003663,-0.002817
91005,28/03/2012,KBE,39147,24.18000,4777500,0.008761,-0.005519,-0.004942
91005,29/03/2012,KBE,39147,23.93000,5184800,-0.010339,-0.001899,-0.001608
91005,30/03/2012,KBE,39147,23.85000,3938000,-0.003343,0.003355,0.003698
91005,02/04/2012,KBE,39147,24.02000,2518100,0.007128,0.008049,0.007505
91005,03/04/2012,KBE,39147,24.10000,5550000,0.003331,-0.004445,-0.003989
91005,04/04/2012,KBE,39147,23.72000,3451100,-0.015768,-0.011819,-0.010202
91005,05/04/2012,KBE,39147,23.55000,3445300,-0.007167,-0.000801,-0.000629
91005,09/04/2012,KBE,39147,23.11000,3345800,-0.018684,-0.011379,-0.011358
91005,10/04/2012,KBE,39147,22.62000,4645500,-0.021203,-0.018023,-0.017081
91005,11/04/2012,KBE,39147,23.06000,1998800,0.019452,0.008519,0.007449
91005,12/04/2012,KBE,39147,23.45500,2989200,0.017129,0.015087,0.013779
